facility_name,facility_code,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
GARDEN CITY PROCESSING @ FINNEY CO,GCPFCKS,KS,,,,,
GARVIN COUNTY JAIL,GARVIOK,OK,,,,,
GASTON COUNTY JAIL,GASTNNC,NC,,,,,
GEAUGA COUNTY JAIL (GEAUGOH),GEAUGOH,OH,,,,,
GENESEE COUNTY JAIL,GENESNY,NY,,,,,
GEORGE BAILEY DETENT FACI,BAILECA,CA,,,,,
GEORGE BUSH INTERCONTINENTAL,IAHSFTX,TX,,,,,
GLADES COUNTY DETENTION CENTER,GLADEFL,FL,,,,,
GLENDALE POLICE DEPT,GLEPDCA,CA,,,,,
GLENWOOD SPRINGS HOLDROOM,GSCHOLD,CO,,,TRUE,hold_room,
GOLDEN STATE ANNEX,GLDSACA,CA,,,,,
GOOD SAMARITAN HOSPITAL,GSAMHCA,CA,,,TRUE,hospital,
GOODING COUNTY JAIL,GOODCID,ID,,,,,
GOOSE CREEK CORRECTIONAL CENTER,AKGSCCC,AK,,,,,
GRADY COUNTY LAW ENFORCEMENT CTR,GCLECOK,OK,,,,,
GRADY MEMORIAL HOSPITAL,GMHATGA,GA,,,TRUE,hospital,
GRAHAM CO JAIL SAFFORD AZ,GRAHAAZ,AZ,,,,,
GRAND FORKS CO. JUVENILE,GFJUVND,ND,,,TRUE,juvenile_family,
GRAND FORKS COUNTY CORREC,GFCORND,ND,,,,,
GRAND FORKS HOLD ROOM,GRFHOLD,ND,,,TRUE,hold_room,
GRAND ISLAND HOLD ROOM,GRIHOLD,NE,,,TRUE,hold_room,
GRAND JUNCTION HOLDROOM,GJCHOLD,CO,,,TRUE,hold_room,
GRAND RAPIDS HOLDROOM,GRMHOLD,MI,,,TRUE,hold_room,
GRAYSON COUNTY DET CENTER (FEMALE),GRYDCKY,KY,,,,,
GRAYSON COUNTY DETENTION CENTER,GRAYSKY,KY,,,,,
GREAT MEADOW C.F.,NYGREAC,NY,,,,,
GREAT PLAINS CI HOLDROOM,GPCHOLD,,,,TRUE,hold_room,
GREENE COUNTY JAIL,GREENMO,MO,,,,,
GREENTREE INN HOUSTON IAH AIRPORT,HOUGTTX,TX,,,TRUE,hotel_motel,
GREER HOLD ROOM,GRRHOLD,SC,,,TRUE,hold_room,
GROVELAND C.F. SONYEA,NYGROVC,NY,,,,,
GUADALUPE CTY JAIL,GUADATX,TX,,,,,
GUAYNABO MDC (SAN JUAN),BOPGUA,PR,,,,,
GWINNETT COUNTY JAIL,GWINNGA,GA,,,,,
HACKENSACK MED CTR,HACMCNJ,NJ,,,TRUE,hospital,
HAILE DET. CENTER,HAILEID,ID,,,,,
HALL CO JAIL,HALLJGA,GA,,,,,
HALL COUNTY SHERIFF,HASHENE,NE,,,,,
HAMILTON COUNTY JAIL (TX),HAMILTX,TX,,,,,
HAMPDEN CO.HOUSE OF CORR.,HAMPDMA,MA,,,,,
HAMPTON INN & STES ALEXANDRIA,HISAXLA,LA,,,TRUE,hotel_motel,
HAMPTON INN & STES ELP AP,HISEPTX,TX,,,TRUE,hotel_motel,
HAMPTON INN & STES MCALLEN,HISMCTX,TX,,,TRUE,hotel_motel,
HAMPTON INN PEARSALL,HAMPITX,TX,,,TRUE,hotel_motel,
HAMPTON INN PHO AIRPORT N,HIPANAZ,AZ,,,TRUE,hotel_motel,
HAMPTON ROADS REGIONAL JAIL,HRREGVA,VA,,,TRUE,hotel_motel,
HANCOCK CO PUB SFTY CPLX,HCPSCMS,MS,,,,,
HARDEE COUNTY JAIL,HARDEFL,FL,,,,,
HARDIN CO JAIL,HARDJIA,IA,,,,,
HARLINGEN HOLD ROOM,HLGHOLD,TX,,,TRUE,hold_room,
HARLINGEN MEDICAL CENTER,HMCHOTX,TX,,,TRUE,hospital,
HARLINGEN POLICE DEPT.,HRLGNTX,TX,,,,,
HARLINGEN STAGING FACILITY,HSF,TX,,,TRUE,staging_processing,
HARRIS COUNTY JAIL,HARRIGA,GA,,,,,
HARRIS COUNTY PSYCHIATRIC CENTER,HCPSYTX,TX,,,TRUE,mental_health,
HARRIS HEALTH BEN TAUB HOSPITAL,HHBTHTX,TX,,,TRUE,hospital,
HARRISONBURG HOLD ROOM,HBGHOLD,VA,,,TRUE,hold_room,
HARTFORD CORR CENTER,HARFOCT,CT,,,,,
HARTFORD OFFICE,HARHOLD,CT,,,TRUE,hold_room,
HASKELL MEMORIAL HOSPITAL,HASMHTX,TX,,,TRUE,hospital,
HAWTHORN STES EL PASO AIRP,HSELPTX,TX,,,TRUE,hotel_motel,
HCA FLORIDA KENDALL HOSPITAL,CKHOSFL,FL,,,TRUE,hospital,
HCA FLORIDA MEMORIAL HOSPITAL,HCAFMFL,FL,,,TRUE,hospital,
HCA HOUSTON HC CONROE,HCAHCTX,TX,,,,,
HEART OF AMERICA CORR,HACTCND,ND,,,,,
HEL DISTRICT CUSTODY,HELHOLD,,,,TRUE,hold_room,
HENDERSON COUNTY DET. FAC.,HENDENC,NC,,,,,
HENDERSON COUNTY JAIL,HENDETX,TX,,,,,
HENDERSON DETENTION,HENDENV,NV,,,,,
HENDERSON HOSPITAL,HDHSPNV,NV,,,TRUE,hospital,
HENDERSONVILLE HOLD ROOM,HENHOLD,NC,,,TRUE,hold_room,
HENDRICK MEDICAL CENTER,HNDMCTX,TX,,,TRUE,hospital,
HENDRY COUNTY JAIL,HENDRFL,FL,,,,,
HENDRY REGIONAL MEDICAL CENTER,HNRMCFL,FL,,,TRUE,hospital,
HIDALGO COUNTY DETENTION CENTER,HIDALNM,NM,,,,,
HIDALGO COUNTY SHERIFF'S JAIL,HIDALTX,TX,,,,,
HIDALGO POLICE DEPT.,HDLGOTX,TX,,,,,
HIGHLAND MTN COR CTR,AKHIGHL,AK,,,,,
HILL COUNTY JUSTICE CENTER,HILLCMT,MT,,,,,
HOLIDAY INN & STE PHO AP,HISPAAZ,AZ,,,TRUE,hotel_motel,
HOLIDAY INN EXP PHOENIX,HIESPAZ,AZ,,,TRUE,hotel_motel,
HOLIDAY INN EXP SAN ANTONIO,HIESATX,TX,,,TRUE,hotel_motel,
HOLIDAY INN EXP SNA AP,HOLIETX,TX,,,TRUE,hotel_motel,
HOLIDAY INN EXPR & STES PEARSALL,HIEXSTX,TX,,,TRUE,hotel_motel,
HOLIDAY INN EXPRESS & SUITES,HIELPTX,TX,,,TRUE,hotel_motel,
HOLIDAY INN EXPRESS & SUITES,HIRAYTX,TX,,,TRUE,hotel_motel,
HOLIDAY INN EXPRESS CASA DE LA LUZ,HESPCAZ,AZ,,,TRUE,hotel_motel,
HOLIDAY INN PHO DWTN BALLPARK,HIPDBAZ,AZ,,,TRUE,hotel_motel,
HOLIDAY INN SND BAYSIDE,HISDBCA,CA,,,TRUE,hotel_motel,
HOLY CROSS HOSPITAL,HLYCHIL,IL,,,TRUE,hospital,
HONOLULU FEDERAL DETENTION CENTER,BOPHON,HI,,,,,
HOSPITAL PAVIA-SANTURCE,HOSPSPR,PR,,,TRUE,hospital,
HOTEL AVA CASA DO TRANQUILIDADE,HAVACTX,TX,,,TRUE,hotel_motel,
HOTEL PHARR PLAZA,HTLPPTX,TX,,,TRUE,hotel_motel,
HOUSTON CONTRACT DET.FAC.,HOUICDF,TX,,,,,
HOUSTON FO HOLDROOM,HOUHOLD,TX,,,TRUE,hold_room,
HOUSTON HEALTHCARE HOSP,HHCHKTX,TX,,,TRUE,hospital,
HOWARD COUNTY DET CNTR,HOWARMD,MD,,,,,
HUDSON COUNTY JAIL,HUDSONJ,NJ,,,,,
HUDSPETH COUNTY JAIL,HUDSPTX,TX,,,,,
HUNTSVILLE MEMORIAL HOSPITAL,HUNMHTX,TX,,,TRUE,hospital,
IAH SECURE ADULT DET. FACILITY,POLKCTX,TX,,,,,
ICA - FARMVILLE,FRMVLVA,VA,,,,,
IDAHO FALLS HOLD ROOM,IFIHOLD,ID,,,TRUE,hold_room,
IMPERIAL COUNTY JAIL,IMPCOCA,CA,,,,,
IMPERIAL REGIONAL ADULT DET FAC,IRADFCA,CA,,,,,
IMPERIAL SUB OFFICE HOLD ROOM,IMPHOLD,CA,,,TRUE,hold_room,
IN DEPT. OF CORRECTIONS,INDCMIC,,,,,,
INDIANAPOLIS HOLD ROOM,INPHOLD,IN,,,TRUE,hold_room,
INDIANAPOLIS METROPOLITAN PD,INDMPIN,IN,,,,,
IRONWOOD STATE PRISON,CAIRONW,CA,,,,,
IRWIN COUNTY DETENTION CENTER,IRWINGA,GA,,,,,
JACK HARWELL DETENTION CENTER,JHRWLTX,TX,,,,,
JACKSON CO JAIL,JACKSOR,OR,,,,,
JACKSON COUNTY SHERIFF,JACKSTN,TN,,,,,
JACKSON MEMORIAL HOSPITAL,JMHOSFL,FL,,,TRUE,hospital,
JACKSON MS HOLD ROOM,JAKHOLD,MS,,,TRUE,hold_room,
JACKSON PARISH CORRECTIONAL CENTER,JKPCCLA,LA,,,,,
JACKSONVILLE SUB-OFFICE,JAXHOLD,FL,,,TRUE,hold_room,
JAMAICA HOSPITAL MED CTR,JHMCJNY,NY,,,TRUE,hospital,
JAMES A MUSICK FACILITY,MUSIKCA,CA,,,,,
JEFFERSON COUNTY JAIL,JEFFEID,ID,,,,,
JEFFERSON COUNTY JAIL,JEFFEIL,IL,,,,,
JEFFERSON COUNTY JAIL,JEFFEMT,MT,,,,,
JEFFERSON COUNTY JAIL,JEFFENY,NY,,,,,
JEFFERSON COUNTY JAIL,JEFFETX,TX,,,,,
JERSEY CITY MED CTR,JYCMCNJ,NJ,,,TRUE,hospital,
JFK INTERNATIONAL AP - T7,JFKTSNY,NY,,,,,
JOE CORLEY PROCESSING CTR,JCRLYTX,TX,,,,,
JOHNSON COUNTY JAIL,JOHNSTX,TX,,,,,
JOSEPHINE CO. JAIL,JOSEPOR,OR,,,,,
KANDIYOHI CO. JAIL,KANDIMN,MN,,,,,
KANE COUNTY JAIL,KANECIL,IL,,,,,
KANKAKEE COUNTY JAIL,KANKEIL,IL,,,,,
KANSAS CITY HOLDROOM,KANHOLD,MO,,,TRUE,hold_room,
KARNES CO IMMIGRATION PROCESS CTR,KRNRCTX,TX,,,,,
KARNES COUNTY CIVIL DET. FACILITY,KCCDCTX,TX,,,,,
KARNES CTY CORR CTR,KARNETX,TX,,,,,
KAY CO JUSTICE FACILITY,KCOJFOK,OK,,,,,
KENOSHA COUNTY JAIL,KENOSWI,WI,,,,,
"KENT CO.,GRAND RAPIDS,MI",KENTCMI,MI,,,,,
KERN COUNTY JAIL (LERDO),KERCOCA,CA,,,,,
KERN MEDICAL HOSPITAL,KERNHCA,CA,,,TRUE,hospital,
KETCHIKAN REGIONAL CC,AKKETCH,AK,,,,,
KINGS COUNTY HOSPITAL,KCHOSNY,NY,,,TRUE,hospital,
KINNEY COUNTY JAIL,KINNETX,TX,,,,,
KITTITAS COUNTY JAIL,KITTIWA,WA,,,,,
KLAMATH CO JAIL,KLAMCOR,OR,,,,,
KNOX COUNTY DETENTION FACILITY,KNXDFTN,TN,,,,,
KNOXVILLE HOLD ROOM,KNXHOLD,TN,,,TRUE,hold_room,
KODIAK CITY JAIL,KODIAAK,AK,,,,,
KROME HOLD ROOM,KROHOLD,FL,,,TRUE,hold_room,
KROME NORTH SPC,KRO,FL,,,,,
KROME/MIAMI HUB,KRHUBFL,FL,,,,,
LA COPA INN HOTEL,LCIMCTX,TX,,,TRUE,hotel_motel,
LA FERIA POLICE DEPT.,LAFERTX,TX,,,,,
LA PALMA CORR CTR APSO,LPAPSAZ,AZ,,,,,
LA PALMA CORRECTIONAL CENTER,LPLCCAZ,AZ,,,,,
LA PAZ COUNTY ADULT DET. FAC.,LAPAZAZ,AZ,,,,,
LA PLATA COUNTY JAIL,LAPLACO,CO,,,,,
LA QUINTA INN BY WYNDHAM SNA,LQSNATX,TX,,,TRUE,hotel_motel,
LA QUINTA WYNDHAM CASA DE PAZ,CSCLQTX,TX,,,TRUE,hotel_motel,
LA QUINTA WYNDHAM CASA DO SONHO,LQWCSTX,TX,,,TRUE,hotel_motel,
LA SALLE CO REGIONAL DET. CENTER,LSRDCTX,TX,,,,,
"LA TUNA FEDERAL SATTELITE, LOW",BOPLTL,TX,,,,,
"LACKAWANA CNTY JAIL, PA",LACKAPA,PA,,,,,
LAFFAYETTE SHERIFF'S LOCK,CTLAFSL,CT,,,,,
LAKELAND NURSING HOME,LKLNDLA,LA,,,,,
LAKESIDE MEDICAL CENTER,LAKMCFL,FL,,,TRUE,hospital,
LANE CO JAIL,LANECOR,OR,,,,,
LARAMIE COUNTY JAIL,LARCOWY,WY,,,,,
LAREDO DETENTION CENTER HOLD ROOM,LRDHOLD,TX,,,TRUE,hold_room,
LAREDO MEDICAL CENTER,LRDMCTX,TX,,,TRUE,hospital,
LAREDO PROCESSING CENTER,LRDICDF,TX,,,,,
LARIMER COUNTY JAIL,LARIMCO,CO,,,,,
LARKIN BEHAVIORAL HEALTH SVCS,LRKBHFL,FL,,,TRUE,hospital,
LARKIN HOSPITAL,LRKNHFL,FL,,,TRUE,hospital,
LAS COLINAS WOMEN DET FAC,LASWOCA,CA,,,,,
LAS CRUCES HOLD ROOM,LASHOLD,NM,,,TRUE,hold_room,
LAS VEGAS HOLD ROOM,LVGHOLD,NV,,,TRUE,hold_room,
LASALLE CORR CTR OLLA,OLACCLA,LA,,,,,
LASALLE COUNTY JAIL,LASALTX,TX,,,,,
LAUREL RIDGE TREATMENT CTR,LAURITX,TX,,,,,
LAVACA COUNTY JAIL,LAVACTX,TX,,,,,
LAWRENCE COUNTY JAIL,LAWREPA,PA,,,,,
LEA COUNTY JAIL,LEACONM,NM,,,,,
"LEHIGH COUNTY JAIL, PA",LEHIGPA,PA,,,,,
"LEMON CREEK, JUNEAU,AK",AKLEMON,AK,,,,,
LEMUEL SHATTUCK HOSPITAL,LSHOSMA,MA,,,TRUE,hospital,
LEVY COUNTY JAIL,LEVYCFL,FL,,,,,
LEWIS & CLARK COUNTY JAIL,LEWISMT,MT,,,,,
LEWIS COUNTY JAIL,LEWISNY,NY,,,,,
LEXINGTON COUNTY JAIL,LEXINSC,SC,,,,,
LEXINGTON PROCESSING @ FAYETTE CO,LEXFCKY,KY,,,,,
LEXINTON FED.MED CENTER,BOPLEX,KY,,,TRUE,hospital,
LIMESTON MEDICAL CENTER,LIMMCTX,TX,,,TRUE,hospital,
LIMESTONE COUNTY JAIL,LIMCJTX,TX,,,,,
LIMESTONE DET CENTER,LIMESTX,TX,,,,,
LINCOLN COUNTY JAIL,LINCONE,NE,,,,,
LINCOLN COUNTY SHERIFF'S,LINCOMO,MO,,,,,
LINN CO JAIL,LINNCOR,OR,,,,,
LINN COUNTY JAIL,LINNJIA,IA,,,,,
LITTLE ROCK HOLD ROOM,LRAHOLD,AR,,,TRUE,hold_room,
LIVINGSTON CORRECTIONAL,NYLIVIC,NY,,,,,
LIVINGSTON COUNTY JAIL,LIVINNY,NY,,,,,
LOMA LINDA UNIVERSITY MED CENTER,LLUMCCA,CA,,,TRUE,hospital,
LOMPOC FCI,BOPLOF,CA,,,,,
LOMPOC USP,BOPLOM,CA,,,,,
LONOKE POLICE DEPT DET.CTR,LONPDAR,AR,,,,,
"LORTON, VA HOLD ROOM",LTVHOLD,VA,,,TRUE,hold_room,
LOS ANGELES COUNTY JAIL-TWIN TOWER,LOSCJCA,CA,,,,,
LOS ANGELES MET.DET.CTR.,BOPLOS,CA,,,,,
LOS ANGELES POLICE PD 77TH DIV.,LPD77CA,CA,,,,,
LOS CUST CASE,LOSHOLD,CA,,,TRUE,hold_room,
LOS FRESNOS HOLD ROOM,LSFHOLD,TX,,,TRUE,hold_room,
LOS FRESNOS POLICE DEPT.,LFRESTX,TX,,,,,
LOUDOUN COUNTY,LOUCOVA,VA,,,,,
LOUISVILLE HOLD ROOM,LOUHOLD,KY,,,TRUE,hold_room,
LOVELAND HOLDROOM,LDFHOLD,CO,,,TRUE,hold_room,
LOWER KEYS MEDICAL CENTER,LRKMCFL,FL,,,TRUE,hospital,
LOYOLA CENTER FOR HEALTH,LYOLAIL,IL,,,TRUE,hospital,
LUBBOCK COUNTY JAIL,LUBBOTX,TX,,,,,
LUBBOCK HOLD ROOM,LBKHOLD,TX,,,TRUE,hold_room,
LUFKIN POLICE DEPT.,LUFKNTX,TX,,,,,
"MADISON CO. JAIL, MS.",MADISMS,MS,,,,,
MADISON COUNTY JAIL,MADISID,ID,,,,,
MADISON COUNTY JAIL,MADISNY,NY,,,,,
MAHONING COUNTY JAIL,MAHONOH,OH,,,,,
MAIN FOLKSTON IPC DRJAMES,JAMESGA,GA,,,,,
MAINE YOUTH CENTER - LONG CREEK,MEYTHCT,CT,,,,,
MANATEE COUNTY DETENTION-ANNEX,MANATFL,FL,,,,,
MANCHESTER HOLDROOM,MANHOLD,NH,,,TRUE,hold_room,
MAPLE HEIGHTS CITY JAIL,MAPLEOH,OH,,,,,
MARCY CORRECTIONAL,NYMARCC,NY,,,,,
MARICOPA COUNTY JAIL,MCFAJAZ,AZ,,,,,
MARICOPA MEDICAL CENTER,MCMEDAZ,AZ,,,TRUE,hospital,
MARION CO JAIL,MARICOR,OR,,,,,
MARION CORRECTIONAL INST.,FLMARIC,FL,,,,,
MARION COUNTY JAIL,MARIOIN,IN,,,,,
MARSHALL COUNTY JAIL,MARSHIA,IA,,,,,
MARTIN COUNTY JAIL,MARTIFL,FL,,,,,
MARTIN COUNTY JAIL,MARTNTX,TX,,,,,
MARY WASHINGTON HOSPITAL,MWASHVA,VA,,,TRUE,hospital,
MAVERICK COUNTY JAIL,MAVERTX,TX,,,,,
MCALLEN HOLD ROOM,MCAHOLD,TX,,,TRUE,hold_room,
MCCREARY USP,BOPMCR,KY,,,,,
MCFARLAND CCF,CACFMCF,,,,,,
MCHENRY COUNTY SHERIFF'S,MCHENIL,IL,,,,,
MCKINLEY COUNTY ADULT DET. CEN.,MCKINNM,NM,,,,,
MCLAREN PORT HURON HOSP,MLPHHMI,MI,,,TRUE,hospital,
MCLENNAN COUNTY JAIL,MCCLETX,TX,,,,,
"MCRAE CORRECTIONAL FACILITY, CCA",BOPRAE,GA,,,,,
"MEADE CO. JAIL, SD",MEADESD,SD,,,,,
MECKLENBURG (NC) CO JAIL,MECKLNC,NC,,,,,
MEDFORD SUB-OFFICE,MEDHOLD,OR,,,TRUE,hold_room,
MEMORIAL HERMANN NW HOSP,MHNHHTX,TX,,,TRUE,hospital,
MEMORIAL HOSPITAL BAKERSFIELD,MEMHOCA,CA,,,TRUE,hospital,
MEMORIAL REGIONAL HOSP.,MEMRHFL,FL,,,TRUE,hospital,
MEMPHIS HOLD ROOM,MEMHOLD,TN,,,TRUE,hold_room,
MERCEDES POLICE DEPT.,MRCDSTX,TX,,,,,
MERCER COUNTY CORRECTIONS,MERCEIL,IL,,,,,
MERCY HOSPITAL,MERCYFL,FL,,,TRUE,hospital,
MESA COUNTY JAIL,MESJACO,CO,,,,,
MESA VERDE ICE PROCESSING CENTER,CACFMES,CA,,,,,
METHODIST HOSPITAL METROPOLITAN,MHMSATX,TX,,,TRUE,hospital,
METHODIST HOSPITAL NORTHEAST,MHNSATX,TX,,,TRUE,hospital,
METHODIST HOSPITAL SOUTH,MTHOSTX,TX,,,TRUE,hospital,
METHODIST HOSPITAL STONE OAK,MHSOSTX,TX,,,TRUE,hospital,
METHODIST HOSPITAL TEXSAN,MHTSATX,TX,,,TRUE,hospital,
METHODIST SPECIALTY TRANSPLANT HOS,MSTHSTX,TX,,,,,
METRO DADE JAIL,METROFL,FL,,,,,
MIAMI (MIRAMAR) HOLD ROOM,MIAHOLD,FL,,,TRUE,hold_room,
MIAMI BORDER PATROL,IBPSMIA,IA,,,TRUE,border_station,
MIAMI FCI (FORMER MCC),BOPMIA,IA,,,,,
MIAMI FED.DET.CENTER,BOPMIM,FL,,,,,
MIAMI STAGING FACILITY,MSF,FL,,,TRUE,staging_processing,
MIDDLE RIVER REGIONAL JAIL,MRREGVA,VA,,,,,
MIDLAND DETENTION CENTER,MIDLATX,TX,,,,,
"MIDLAND, TX ERO HOLDROOM",MLDHOLD,TX,,,TRUE,hold_room,
MIDSTATE CORRECTIONAL,NYMDSTC,NY,,,,,
MILLER COUNTY JAIL,MILLRAR,AR,,,,,
MILWAUKEE HOLDROOM,MILHOLD,WI,,,TRUE,hold_room,
MINICASSIA DET. CENTER,MINICID,ID,,,,,
MINNEHAHA COUNTY JAIL,MINNESD,SD,,,,,
MIRA LOMA DET.CENTER,LANCACA,CA,,,,,
MIRIAM HOSPITAL,MIRHPRI,RI,,,TRUE,hospital,
MISSISSIPPI COUNTY DETENTION CENTE,MISCOMO,MO,,,,,
MISSOULA COUNTY,MISSOMT,MT,,,,,
MOFFAT COUNTY JAIL,MOFFECO,CO,,,,,
MOHAWK CORRECTIONAL,NYMOHOC,NY,,,,,
MONMOUTH COUNTY JAIL,MONMONJ,NJ,,,,,
MONROE COUNTY DETENTION-DORM,MONROMI,MI,,,,,
MONROE COUNTY JAIL,MONROFL,FL,,,,,
MONROE COUNTY SHERIFF/JAIL-MAIN,MNROEMI,MI,,,,,
MONTGOMERY CITY JAIL,MNTGMAL,AL,,,,,
MONTGOMERY CITY JAIL,MONCJAL,AL,,,,,
"MONTGOMERY CNTY JAIL, PA",MONTGPA,PA,,,,,
MONTGOMERY CO MAC SIM BUTLER D.F.,MONTGAL,AL,,,,,
MONTGOMERY COUNTY JAIL,MONTGMO,MO,,,,,
MONTGOMERY COUNTY JAIL,MONTGTX,TX,,,,,
MONTGOMERY HOLD RM,MTGHOLD,TX,,,TRUE,hold_room,
MONTGOMERY PROCESSING CTR,MTGPCTX,TX,,,,,
MORGAN COUNTY SHERIFF'S DEPT,MORGNMO,MO,,,,,
MORGANTOWN FED.CORR.INST.,BOPMRG,WV,,,,,
MORROW CO. CORRECTIONAL FACILITY,MOROWOH,OH,,,,,
MOSHANNON VALLEY CORRECTIONAL,BOPMVC,PA,,,,,
MOSHANNON VALLEY PROCESSING CENTER,MSVPCPA,PA,,,,,
MOUNT LAUREL HOLD ROOM,MLJHOLD,NJ,,,TRUE,hold_room,
MOUNT NITTANY MEDICAL CENTER,MTNITPA,PA,,,TRUE,hospital,
MOUNTAIN VISTA MED CTR,MVMCMAZ,AZ,,,TRUE,hospital,
"MOUNTRAIL CO. JAIL, ND",MOUNTND,ND,,,,,
MUSCATINE COUNTY JAIL,MUSCAIA,IA,,,,,
MUSKEGON COUNTY JAIL,MSKGNMI,MI,,,,,
MUSSELSHELL COUNTY JAIL,MUSSEMT,MT,,,,,
NASHUA ST. JAIL,NASHUMA,MA,,,,,
NASHVILLE COMM. CORR.,BOPCNV,NV,,,,,
NASSAU CO CORREC CENTER,NASSANY,NY,,,,,
NATCHITOCHES PARISH DET. CENTER,NATCHLA,LA,,,,,
NATRONA COUNTY JAIL,NATROWY,WY,,,,,
NAVAJO COUNTY SHERIFF,NAVSOAZ,AZ,,,,,
NEBRASKA MED CTR OMAHA,NMCOMNE,NE,,,TRUE,hospital,
NEIGHBOR-FAMILY MIAMI GARDENS,NFMIGFL,FL,,,,,
"NEIGHBOR-FAMILY, STONE MOUNTAIN",NFSMTGA,GA,,,,,
NEVADA SOUTHERN DETENTION CENTER,NVSDCNV,NV,,,,,
NEW HANOVER CO DET CENTER,NWHNVNC,NC,,,,,
NEW ORLEANS HOLD ROOM,NOLHOLD,LA,,,TRUE,hold_room,
NEW RIVER VALLEY REG. JAIL,NRVRJVA,VA,,,,,
NEW/INS OS HOLD ROOM,NEWHOLD,,,,TRUE,hold_room,
NEWBURGH HOLDING,NBGHOLD,NY,,,TRUE,hold_room,
NIX HOME CARE,NIXHCTX,TX,,,,,
NO. VA. JUVENILE DET - ICE,NVJDCVA,VA,,,TRUE,juvenile_family,
NOBLES CO. JAIL,NOBLEMN,MN,,,,,
NORFLK CNTY DEDHAM,NORFOMA,MA,,,,,
NORFOLK CITY JAIL,NORFOVA,VA,,,,,
NORFOLK SUB-OFFICE HOLD,NORHOLD,VA,,,TRUE,hold_room,
NORTH BROWARD MEDICAL CENTER,NBRMCFL,FL,,,TRUE,hospital,
NORTH CENTRAL BAPTIST HOSPITAL,NCBHOTX,TX,,,TRUE,hospital,
NORTH GEORGIA DETENTION CENTER,NGDCTGA,GA,,,,,
NORTH LAS VEGAS,NOLVGNV,NV,,,,,
NORTH PLATTE HOLD ROOM,NRPHOLD,NE,,,TRUE,hold_room,
NORTHEAST BAPTIST HOSPITAL,NEBHSTX,TX,,,TRUE,hospital,
NORTHEAST OHIO CORRECTIONAL CENTER,BOPNEO,OH,,,,,
NORTHERN NECK REG. JAIL,NNREGVA,VA,,,,,
NORTHERN NEVADA MED CTR,NNVMCNV,NV,,,TRUE,hospital,
NORTHERN OREGON CORR.FAC.,NORCOOR,OR,,,,,
NORTHERN OREGON JUV.DET.,NOJUVOR,OR,,,,,
NORTHERN REGIONAL JAIL,WVNORTH,WV,,,,,
NORTHWEST REG. ADULT DET.,NWREGVA,VA,,,,,
NORTHWEST STATE CORRECTIONAL CTR.,VTSTALB,VT,,,,,
NW ICE PROCESSING CTR,CSCNWWA,WA,,,,,
NW REG JUV DET CTR,NRJDCVA,VA,,,,,
NW REGIONAL CORRECTIONS CENTER,NWRCCMN,MN,,,,,
NYC HOLD ROOM,NYCHOLD,NY,,,TRUE,hold_room,
NYE COUNTY SHERIFF-PAHRUMP,NYEPANV,NV,,,,,
OAKDALE FED. DET. CENTER,OAK,AK,,,,,
OAKDALE FED.DET.CENTER,BOPOAD,LA,,,,,
OAKDALE HOLDING ROOM,OAKHOLD,LA,,,TRUE,hold_room,
ODESSA DETENTION CENTER,ODESSTX,TX,,,,,
OGDEN HOLD ROOM,OGUHOLD,UT,,,TRUE,hold_room,
OGDENSBURG CORRECTIONAL,NYOGDNC,NC,,,,,
OGLE COUNTY JAIL,OGLECIL,IL,,,,,
OKANOGAN CO. JAIL,OKANOWA,WA,,,,,
OKLAHOMA CITY HOLD ROOM.,OKCHOLD,OK,,,TRUE,hold_room,
OKLAHOMA COUNTY JAIL,OKCOJOK,OK,,,,,
OKMULGEE COUNTY JAIL,OKMULOK,OK,,,,,
OLDHAM COUNTY JAIL,OLDHAKY,KY,,,,,
OMAHA FO HOLD,OMAHOLD,NE,,,TRUE,hold_room,
ONEIDA COUNTY JAIL,ONECONY,NY,,,,,
ONONDAGA COUNTY JAIL,ONONDNY,NY,,,,,
ONTARIO COUNTY JAIL,ONTARNY,NY,,,,,
ORANGE CO GLOBAL MEDICAL CENTER,OGCMCCA,CA,,,TRUE,hospital,
ORANGE COUNT INTAKE RELEASE FAC.,OCIRCCA,CA,,,,,
ORANGE COUNTY CENTRAL WOMEN'S JAIL,OCCWJCA,CA,,,,,
ORANGE COUNTY JAIL,ORANGFL,FL,,,,,
ORANGE COUNTY JAIL,ORANGNY,NY,,,,,
ORANGE REGIONAL MED CTR,OGRMCNY,NY,,,TRUE,hospital,
ORDNANCE ROAD CORRECTIONAL CENTER,AAORDMD,MD,,,,,
ORLANDO HOLD ROOM,ORLHOLD,FL,,,TRUE,hold_room,
ORLEANS CORRECTIONAL,NYORLNC,NC,,,,,
ORLEANS PARISH SHERIFF,ORPARLA,LA,,,,,
OSAWATAMIE STATE HOSPITAL,OSAHOKS,KS,,,TRUE,hospital,
OTAY MESA DETENTION CENTER,CCASDCA,CA,,,,,
OTERO CO PROCESSING CENTER,OTRPCNM,NM,,,,,
OTERO COUNTY DETENTION,OTERONM,NM,,,,,
OTERO COUNTY JAIL,OTEROCO,CO,,,,,
OTERO COUNTY PRISON FACILITY,OTROPNM,NM,,,,,
OTTO KAISER MEMORIAL HOSPITAL,OKMHKTX,TX,,,TRUE,hospital,
PALI MOMI MEDICAL CENTER,PMMCAHI,HI,,,TRUE,hospital,
