county_fips,aor
26119,Detroit
29029,Chicago
30077,Salt Lake City
37147,Atlanta
37099,Atlanta
38037,St Paul
41043,Seattle
42005,Philadelphia
47005,New Orleans
51149,Washington
54045,Philadelphia
78020,Miami
08005,Denver
13103,Atlanta
04003,Phoenix
22101,New Orleans
22037,New Orleans
24035,Baltimore
37095,Atlanta
37173,Atlanta
02013,Seattle
42101,Philadelphia
26029,Detroit
29031,Chicago
30031,Salt Lake City
33007,Boston
16031,Salt Lake City
17185,Chicago
26063,Detroit
27077,St Paul
46085,St Paul
18145,Chicago
20097,Chicago
21125,Chicago
49035,Salt Lake City
51790,Washington
11001,Washington
12039,Miami
17031,Chicago
23025,Boston
37031,Atlanta
39095,Detroit
02188,Seattle
25011,Boston
01063,New Orleans
30071,Salt Lake City
35007,El Paso
19089,St Paul
19045,St Paul
01117,New Orleans
47037,New Orleans
18107,Chicago
20161,Chicago
21205,Chicago
51119,Washington
51199,Washington
53075,Seattle
55029,Chicago
55037,Chicago
13139,Atlanta
16077,Salt Lake City
17035,Chicago
37153,Atlanta
37103,Atlanta
19021,St Paul
21151,Chicago
45029,Atlanta
47151,New Orleans
51091,Washington
51165,Washington
53015,Seattle
08111,Denver
13135,Atlanta
13077,Atlanta
13271,Atlanta
13283,Atlanta
16023,Salt Lake City
31171,St Paul
34013,Newark
37017,Atlanta
38005,St Paul
45035,Atlanta
46055,St Paul
21065,Chicago
22079,New Orleans
23007,Boston
27149,St Paul
28121,New Orleans
30043,Salt Lake City
40013,Dallas
51105,Washington
05069,New Orleans
51053,Washington
51830,Washington
54075,Philadelphia
05093,New Orleans
45063,Atlanta
27027,St Paul
33015,Boston
41013,Seattle
45031,Atlanta
13251,Atlanta
05145,New Orleans
29069,Chicago
51167,Washington
12055,Miami
18183,Chicago
21197,Chicago
22053,New Orleans
51117,Washington
19143,St Paul
21071,Chicago
12133,Miami
37111,Atlanta
46075,St Paul
12017,Miami
13137,Atlanta
01085,New Orleans
22113,New Orleans
25023,Boston
27043,St Paul
29189,Chicago
35017,El Paso
37139,Atlanta
42055,Philadelphia
53073,Seattle
55043,Chicago
05023,New Orleans
13019,Atlanta
18051,Chicago
21177,Chicago
22097,New Orleans
23021,Boston
27021,St Paul
35037,El Paso
37023,Atlanta
41061,Seattle
42097,Philadelphia
47035,New Orleans
01061,New Orleans
01039,New Orleans
01111,New Orleans
01059,New Orleans
01093,New Orleans
05127,New Orleans
05077,New Orleans
05005,New Orleans
05105,New Orleans
08063,Denver
08125,Denver
08099,Denver
12087,Miami
12021,Miami
45089,Atlanta
21203,Chicago
22013,New Orleans
26137,Detroit
30093,Salt Lake City
42059,Philadelphia
47025,New Orleans
05029,New Orleans
51019,Washington
51685,Washington
54067,Philadelphia
16079,Salt Lake City
24029,Baltimore
34003,Newark
39073,Detroit
37115,Atlanta
02158,Seattle
27173,St Paul
69100,San Francisco
13209,Atlanta
17189,Chicago
21031,Chicago
51530,Washington
30003,Salt Lake City
21217,Chicago
12027,Miami
47041,New Orleans
45065,Atlanta
08053,Denver
21085,Chicago
34027,Newark
51007,Washington
09130,Boston
20203,Chicago
17071,Chicago
16071,Salt Lake City
16055,Salt Lake City
17127,Chicago
17157,Chicago
12015,Miami
12059,Miami
12079,Miami
12003,Miami
13285,Atlanta
13233,Atlanta
17163,Chicago
13047,Atlanta
13295,Atlanta
13131,Atlanta
13253,Atlanta
13061,Atlanta
17117,Chicago
13045,Atlanta
17093,Chicago
18029,Chicago
18001,Chicago
18151,Chicago
18007,Chicago
26017,Detroit
26049,Detroit
26021,Detroit
17149,Chicago
17013,Chicago
17201,Chicago
18043,Chicago
19139,St Paul
27035,St Paul
17057,Chicago
17025,Chicago
18167,Chicago
20209,Chicago
17099,Chicago
20005,Chicago
21111,Chicago
40049,Dallas
45053,Atlanta
26145,Detroit
19145,St Paul
18057,Chicago
19085,St Paul
26117,Detroit
19177,St Paul
26121,Detroit
19119,St Paul
26105,Detroit
27047,St Paul
20011,Chicago
20043,Chicago
20137,Chicago
20117,Chicago
20129,Chicago
20175,Chicago
